COUNTRY,STATE,ACTUAL,PREDICT,PRODTYPE,PRODUCT,YEAR,QUARTER,MONTH
U.S.A.,California,987.36,692.24,FURNITURE,SOFA,1995,1,Jan
U.S.A.,California,1782.96,568.48,FURNITURE,SOFA,1995,1,Feb
U.S.A.,California,32.64,16.32,FURNITURE,SOFA,1995,1,Mar
U.S.A.,California,1825.12,756.16,FURNITURE,SOFA,1995,2,Apr
U.S.A.,California,750.72,723.52,FURNITURE,SOFA,1995,2,May
U.S.A.,California,2426.24,2428.96,FURNITURE,SOFA,1995,2,Jun
U.S.A.,California,1791.12,2250.80,FURNITURE,SOFA,1995,3,Jul
U.S.A.,California,2282.08,350.88,FURNITURE,SOFA,1995,3,Aug
U.S.A.,California,2518.72,1736.72,FURNITURE,SOFA,1995,3,Sep
U.S.A.,California,1436.16,2167.84,FURNITURE,SOFA,1995,4,Oct
U.S.A.,California,2314.72,62.56,FURNITURE,SOFA,1995,4,Nov
U.S.A.,California,1410.32,1670.08,FURNITURE,SOFA,1995,4,Dec
U.S.A.,California,369.92,1365.44,FURNITURE,BED,1995,1,Jan
U.S.A.,California,2014.16,2358.24,FURNITURE,BED,1995,1,Feb
U.S.A.,California,85.68,2594.88,FURNITURE,BED,1995,1,Mar
U.S.A.,California,2694.16,1403.52,FURNITURE,BED,1995,2,Apr
U.S.A.,California,2014.16,707.20,FURNITURE,BED,1995,2,May
U.S.A.,California,1500.08,2461.60,FURNITURE,BED,1995,2,Jun
U.S.A.,California,2133.84,2486.08,FURNITURE,BED,1995,3,Jul
U.S.A.,California,1834.64,2884.56,FURNITURE,BED,1995,3,Aug
U.S.A.,California,2687.36,1224.00,FURNITURE,BED,1995,3,Sep
U.S.A.,California,646.00,950.64,FURNITURE,BED,1995,4,Oct
U.S.A.,California,2392.24,2356.88,FURNITURE,BED,1995,4,Nov
U.S.A.,California,913.92,1538.16,FURNITURE,BED,1995,4,Dec
U.S.A.,California,1090.72,375.36,OFFICE,CHAIR,1995,1,Jan
U.S.A.,California,2151.52,1025.44,OFFICE,CHAIR,1995,1,Feb
U.S.A.,California,1221.28,265.20,OFFICE,CHAIR,1995,1,Mar
U.S.A.,California,1370.88,2283.44,OFFICE,CHAIR,1995,2,Apr
U.S.A.,California,2547.28,1925.76,OFFICE,CHAIR,1995,2,May
U.S.A.,California,1105.68,1889.04,OFFICE,CHAIR,1995,2,Jun
U.S.A.,California,1977.44,606.56,OFFICE,CHAIR,1995,3,Jul
U.S.A.,California,2069.92,949.28,OFFICE,CHAIR,1995,3,Aug
U.S.A.,California,329.12,2258.96,OFFICE,CHAIR,1995,3,Sep
U.S.A.,California,1784.32,2275.28,OFFICE,CHAIR,1995,4,Oct
U.S.A.,California,1640.16,1908.08,OFFICE,CHAIR,1995,4,Nov
U.S.A.,California,350.88,146.88,OFFICE,CHAIR,1995,4,Dec
U.S.A.,California,829.60,2431.68,OFFICE,DESK,1995,1,Jan
U.S.A.,California,2584.00,2132.48,OFFICE,DESK,1995,1,Feb
U.S.A.,California,2222.24,2883.20,OFFICE,DESK,1995,1,Mar
U.S.A.,California,446.08,2766.24,OFFICE,DESK,1995,2,Apr
U.S.A.,California,1490.56,2256.24,OFFICE,DESK,1995,2,May
U.S.A.,California,299.20,1225.36,OFFICE,DESK,1995,2,Jun
U.S.A.,California,1279.76,2140.64,OFFICE,DESK,1995,3,Jul
U.S.A.,California,769.76,357.68,OFFICE,DESK,1995,3,Aug
U.S.A.,California,281.52,2789.36,OFFICE,DESK,1995,3,Sep
U.S.A.,California,2151.52,749.36,OFFICE,DESK,1995,4,Oct
U.S.A.,California,1327.36,1747.60,OFFICE,DESK,1995,4,Nov
U.S.A.,California,403.92,1066.24,OFFICE,DESK,1995,4,Dec
U.S.A.,California,1646.96,1360.00,FURNITURE,SOFA,1995,1,Jan
U.S.A.,California,1856.40,1308.32,FURNITURE,SOFA,1995,1,Feb
